hodnota,vek_kod,vuzemi_kod,casref_do,vek_txt,vuzemi_txt
35627,25-29,3131,2019-12-31,25 až 30 (více nebo rovno 25 a méně než 30),Zlínský kraj
75491,25-29,3140,2019-12-31,25 až 30 (více nebo rovno 25 a méně než 30),Moravskoslezský kraj
54717,20-24,3018,2019-12-31,20 až 25 (více nebo rovno 20 a méně než 25),Hlavní město Praha
59461,20-24,3026,2019-12-31,20 až 25 (více nebo rovno 20 a méně než 25),Středočeský kraj
29480,20-24,3034,2019-12-31,20 až 25 (více nebo rovno 20 a méně než 25),Jihočeský kraj
26244,20-24,3042,2019-12-31,20 až 25 (více nebo rovno 20 a méně než 25),Plzeňský kraj
13547,20-24,3051,2019-12-31,20 až 25 (více nebo rovno 20 a méně než 25),Karlovarský kraj
25231,20-24,3093,2019-12-31,20 až 25 (více nebo rovno 20 a méně než 25),Pardubický kraj
38818,20-24,3069,2019-12-31,20 až 25 (více nebo rovno 20 a méně než 25),Ústecký kraj
20749,20-24,3077,2019-12-31,20 až 25 (více nebo rovno 20 a méně než 25),Liberecký kraj
25827,20-24,3085,2019-12-31,20 až 25 (více nebo rovno 20 a méně než 25),Královéhradecký kraj
24768,20-24,3107,2019-12-31,20 až 25 (více nebo rovno 20 a méně než 25),Kraj Vysočina
51964,20-24,3115,2019-12-31,20 až 25 (více nebo rovno 20 a méně než 25),Jihomoravský kraj
28760,20-24,3123,2019-12-31,20 až 25 (více nebo rovno 20 a méně než 25),Olomoucký kraj
26746,20-24,3131,2019-12-31,20 až 25 (více nebo rovno 20 a méně než 25),Zlínský kraj
56720,20-24,3140,2019-12-31,20 až 25 (více nebo rovno 20 a méně než 25),Moravskoslezský kraj
50085,15-19,3018,2019-12-31,15 až 20 (více nebo rovno 15 a méně než 20),Hlavní město Praha
64023,15-19,3026,2019-12-31,15 až 20 (více nebo rovno 15 a méně než 20),Středočeský kraj
29464,15-19,3034,2019-12-31,15 až 20 (více nebo rovno 15 a méně než 20),Jihočeský kraj
25789,15-19,3042,2019-12-31,15 až 20 (více nebo rovno 15 a méně než 20),Plzeňský kraj
13686,15-19,3051,2019-12-31,15 až 20 (více nebo rovno 15 a méně než 20),Karlovarský kraj
40170,15-19,3069,2019-12-31,15 až 20 (více nebo rovno 15 a méně než 20),Ústecký kraj
20751,15-19,3077,2019-12-31,15 až 20 (více nebo rovno 15 a méně než 20),Liberecký kraj
25176,15-19,3085,2019-12-31,15 až 20 (více nebo rovno 15 a méně než 20),Královéhradecký kraj
23967,15-19,3093,2019-12-31,15 až 20 (více nebo rovno 15 a méně než 20),Pardubický kraj
23627,15-19,3107,2019-12-31,15 až 20 (více nebo rovno 15 a méně než 20),Kraj Vysočina
51270,15-19,3115,2019-12-31,15 až 20 (více nebo rovno 15 a méně než 20),Jihomoravský kraj
28574,15-19,3123,2019-12-31,15 až 20 (více nebo rovno 15 a méně než 20),Olomoucký kraj
26266,15-19,3131,2019-12-31,15 až 20 (více nebo rovno 15 a méně než 20),Zlínský kraj
55182,15-19,3140,2019-12-31,15 až 20 (více nebo rovno 15 a méně než 20),Moravskoslezský kraj
64762,10-14,3018,2019-12-31,10 až 15 (více nebo rovno 10 a méně než 15),Hlavní město Praha
82428,10-14,3026,2019-12-31,10 až 15 (více nebo rovno 10 a méně než 15),Středočeský kraj
34844,10-14,3034,2019-12-31,10 až 15 (více nebo rovno 10 a méně než 15),Jihočeský kraj
31479,10-14,3042,2019-12-31,10 až 15 (více nebo rovno 10 a méně než 15),Plzeňský kraj
16383,10-14,3051,2019-12-31,10 až 15 (více nebo rovno 10 a méně než 15),Karlovarský kraj
47353,10-14,3069,2019-12-31,10 až 15 (více nebo rovno 10 a méně než 15),Ústecký kraj
24864,10-14,3077,2019-12-31,10 až 15 (více nebo rovno 10 a méně než 15),Liberecký kraj
30160,10-14,3085,2019-12-31,10 až 15 (více nebo rovno 10 a méně než 15),Královéhradecký kraj
28139,10-14,3093,2019-12-31,10 až 15 (více nebo rovno 10 a méně než 15),Pardubický kraj
26948,10-14,3107,2019-12-31,10 až 15 (více nebo rovno 10 a méně než 15),Kraj Vysočina
61828,10-14,3115,2019-12-31,10 až 15 (více nebo rovno 10 a méně než 15),Jihomoravský kraj
34117,10-14,3123,2019-12-31,10 až 15 (více nebo rovno 10 a méně než 15),Olomoucký kraj
30440,10-14,3131,2019-12-31,10 až 15 (více nebo rovno 10 a méně než 15),Zlínský kraj
64239,10-14,3140,2019-12-31,10 až 15 (více nebo rovno 10 a méně než 15),Moravskoslezský kraj
75076,0-4,3018,2019-12-31,0 až 5 (více nebo rovno 0 a méně než 5),Hlavní město Praha
79884,0-4,3026,2019-12-31,0 až 5 (více nebo rovno 0 a méně než 5),Středočeský kraj
33725,0-4,3034,2019-12-31,0 až 5 (více nebo rovno 0 a méně než 5),Jihočeský kraj
30391,0-4,3042,2019-12-31,0 až 5 (více nebo rovno 0 a méně než 5),Plzeňský kraj
13831,0-4,3051,2019-12-31,0 až 5 (více nebo rovno 0 a méně než 5),Karlovarský kraj
41306,0-4,3069,2019-12-31,0 až 5 (více nebo rovno 0 a méně než 5),Ústecký kraj
23775,0-4,3077,2019-12-31,0 až 5 (více nebo rovno 0 a méně než 5),Liberecký kraj
